name,acreTot,farmAcreTot,pastAcreTot,farmPercTot,acresTopAg
Alabama,32413911,84580940,2284071,27,532000
Arizona,72698076,26125819,22315178,36,37300
Arkansas,33301924,13888929,334469,42,2610000
California,99702872,24522801,12065857,25,1180000
Colorado,66329503,31820957,19189297,48,1460000
Connecticut,3099348,381539,41209,12,47000
Delaware,1247200,525324,12567,42,180000
Florida,34325766,9731731,3928503,28,354100
Georgia,36862570,9953730,1485431,27,1400000
Idaho,52892456,11691912,5069141,22,310000
Illinois,35529830,27006288,923869,76,10500000
Indiana,22928355,14969996,601798,65,5000000
Iowa,35747295,30563878,204403,86,13500000
Kansas,52325346,45759319,15331334,88,6400000
Kentucky,25270506,12961784,3346121,51,1550000
Louisiana,27652280,7997511,1878721,29,890000
Maine,19740213,1307613,73934,7,52000
Maryland,6254001,1990122,153036,32,510000
Massachusetts,4992589,491653,53000,10,12300
Michigan,36197991,9764090,438630,27,2000000
Minnesota,560960343,25516982,1235718,50,7800000
Mississippi,30030781,10415136,1705233,35,1630000
Missouri,43997619,27781883,7458782,63,5010000
Montana,93149066,58122878,39100067,62,5450000
Nebraska,49163591,44986821,21855382,92,10100000
Nevada,70259311,6128153,4918798,9,435000
NewHampshire,5729743,425393,32307,7,49000
NewJersey,4707289,734084,81720,16,9300
NewMexico,77638394,40659836,36370927,53,245000
NewYork,30158965,6866171,721607,23,1180000
NorthCarolina,31115442,8430522,1043121,27,1520000
NorthDakota,44160310,39341591,10412941,89,3500000
Ohio,26151973,13965295,1085152,53,4270000
Oklahoma,43901845,34156290,20726179,78,3005000
Oregon,61431471,15962322,9426015,26,970000
Pennsylvania,28634936,7278668,861700,25,1430000
RhodeIsland,661748,56864,6743,9,5000
SouthCarolina,19240301,4744913,638025,25,380000
SouthDakota,48517967,43243742,22493221,89,4350000
Tennessee,26390363,10874238,2835517,41,950000
Texas,167201869,127036184,91381312,76,5260000
Utah,52604996,10811604,8722244,21,680000
Vermont,5889260,1193437,134280,20,265000
Virginia,25267572,7797979,2217570,31,1145000
Washington,42529753,14679857,4754417,34,172000
WestVirginia,15386181,3662178,1099575,24,515000
Wisconsin,34662826,14318630,1141266,41,3800000
Wyoming,62138516,29004884,26063176,47,1150000
